LIT_CHAR        char
TK_IDENTIFIER   c
OPERATOR_ATRIB  =
LIT_STRING      a
SG_SEMICOLON    ;
KW_INT          int
OPERATOR_ATRIB  =
UNKNOWN_TOKEN   10
SG_SEMICOLON    ;
KW_INT          int
TK_IDENTIFIER   number
OPERATOR_ATRIB  =
UNKNOWN_TOKEN   123
SG_SEMICOLON    ;
KW_REAL         real
TK_IDENTIFIER   decimal
OPERATOR_ATRIB  =
LIT_REAL        12.34
SG_SEMICOLON    ;
KW_BOOL         bool
TK_IDENTIFIER   isTrue
OPERATOR_ATRIB  =
TK_BOOL_TRUE    true
SG_SEMICOLON    ;
SG_SEMICOLON    ;
KW_IF           if
OPEN_PAREN      (
TK_IDENTIFIER   number
OPERATOR_GT     >
UNKNOWN_TOKEN   10
CLOSE_PAREN     )
OPEN_BRACE      {
KW_OUTPUT       output
LIT_STRING      Number is greater than 10!
SG_SEMICOLON    ;
CLOSE_BRACE     }
KW_ELSE         else
OPEN_BRACE      {
KW_OUTPUT       output
LIT_STRING      Number is not greater than 10!
SG_SEMICOLON    ;
CLOSE_BRACE     }
TOKEN_EOF       
Erro na linha 13: Token não reconhecido
